role,hostname,ip,gw,location,note
main,HSL-SVR-MAIN01,10.145.91.11,10.145.91.1,,
main-backup,HSL-SVR-MAIN02,10.145.91.12,10.145.91.1,,
db,HSL-SVR-DB01,10.145.91.13,10.145.91.1,,
db-backup,HSL-SVR-DB02,10.145.91.14,10.145.91.1,,
media,HSL-SVR-MEDIA01,10.145.91.17,10.145.91.1,,EVA dual-path
media,HSL-SVR-MEDIA02,10.145.91.18,10.145.91.1,,EVA dual-path
media,HSL-SVR-MEDIA03,10.145.91.19,10.145.91.1,,EVA dual-path
media,HSL-SVR-MEDIA04,10.145.91.20,10.145.91.1,,EVA dual-path
ems,HSL-SVR-EMS01,10.145.91.21,10.145.91.1,,
ems,HSL-SVR-EMS02,10.145.91.22,10.145.91.1,,
ems,HSL-SVR-EMS03,10.145.4.75,10.145.4.1,광명관제실,
ems,HSL-SVR-EMS04,10.145.XX.XX,10.145.XX.1,구로관제실,확정필요
nms,HSL-SVR-NMS,10.145.91.24,10.145.91.1,,
web,HSL-SVR-WEB,10.145.91.23,10.145.91.1,,
maint,HSL-PC-MS01,10.145.7.75,10.145.7.1,광명사업소,
maint,HSL-PC-MS02,10.145.28.75,10.145.28.1,천안사업소,
maint,HSL-PC-MS03,10.145.46.75,10.145.46.1,영동사업소,
